"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000067048",7390.50343610678,1.17505941490513,0.117754268162311,9.97891145045748,1.88523606786884e-23,1.36585846634393e-21
"ENSG00000012660",69350.6007938214,1.06248386571867,0.106677133538421,9.95980891571303,2.28501473211194e-23,1.6468767636961e-21
"ENSG00000006625",2010.51010322046,-1.14021969374696,0.114529985323076,-9.95564341102921,2.38276530096819e-23,1.70843037485999e-21
"ENSG00000074181",888.890871012104,1.47513952653403,0.148749724704279,9.91692273358268,3.51423900183617e-23,2.50670305708293e-21
"ENSG00000164211",789.132538979893,1.61664291568363,0.163390453782166,9.8943535455196,4.40446761944185e-23,3.1255909188634e-21
"ENSG00000041982",88.257152567097,3.59972446534281,0.365015376035704,9.86184336790982,6.09205235519861e-23,4.3011132903693e-21
"ENSG00000102804",3672.87861616684,1.07865917677436,0.109745673891053,9.82871705581005,8.46907634872559e-23,5.94898875703882e-21
"ENSG00000124181",2841.69796232534,1.06965804732503,0.108914753713035,9.82105739451353,9.13799508041472e-23,6.38644322842317e-21
"ENSG00000124233",139.563249832304,3.07430809998146,0.313760503416675,9.79826353700987,1.14537668914735e-22,7.96468473588998e-21
"ENSG00000105329",98.5249170532462,7.64290541655106,0.780159298552593,9.79659593974041,1.16443800227105e-22,8.05674653771337e-21
"ENSG00000139865",2881.29282090978,1.29000500041064,0.132105297240575,9.76497557142942,1.59150358628739e-22,1.09568291676841e-20
"ENSG00000169213",2504.18462730126,1.13380078610058,0.116712186355795,9.71450215699167,2.61523880472905e-22,1.79156804850696e-20
"ENSG00000186918",766.04914984657,1.41879937506697,0.146362133654268,9.69375985197385,3.20507590746246e-22,2.18481972450569e-20
"ENSG00000134769",550.568289272282,1.56701071658083,0.162019440326354,9.67174502901883,3.97540793487364e-22,2.69665171582262e-20
"ENSG00000110841",2770.68346233387,1.32864225897016,0.138088782065605,9.62165238258766,6.47820024710201e-22,4.36359015959769e-20
"ENSG00000121691",2074.69500913346,-1.10557760008951,0.114908516797791,-9.62137212192059,6.49587782105162e-22,4.36359015959769e-20
"ENSG00000161031",61.1112519219637,4.74758812998832,0.493764895471785,9.61507829642702,6.90567924567123e-22,4.61646325611587e-20
"ENSG00000119950",2552.16447076858,1.23384269411089,0.128915726123113,9.57092459714797,1.05953832839401e-21,7.04898624438285e-20
"ENSG00000163110",2640.62610973862,1.26682083154912,0.132641991297382,9.55067712085928,1.28851338008767e-21,8.53131490605416e-20
"ENSG00000145349",1473.97740699645,1.24191408559433,0.130372636776274,9.52587994155179,1.6364954787673e-21,1.07837259215152e-19
"ENSG00000196620",1348.91593227911,-1.20976389775529,0.127230647629092,-9.5084315005771,1.93558873617127e-21,1.26941596830038e-19
"ENSG00000114315",221.167921999396,2.10684315540005,0.221684067680855,9.50380953146866,2.02349159609332e-21,1.32080550503488e-19
"ENSG00000162545",1520.48503361614,1.37521107561884,0.144718691374959,9.50265002089977,2.04615633821779e-21,1.32932917409661e-19
"ENSG00000170322",2251.5346422612,1.1007406521201,0.116917427528593,9.41468415263335,4.74506853284031e-21,3.06832982978712e-19
"ENSG00000132793",736.009425665669,1.427202131399,0.151712401428938,9.40728719575048,5.09106834390113e-21,3.26158350661592e-19
"ENSG00000164032",6484.92564097472,1.01620299384484,0.108020743638237,9.40748007853126,5.08173690095383e-21,3.26158350661592e-19
